text,translation,label
"The food was amazing but the service was incredibly slow.","Das Essen war fantastisch, aber der Service war unglaublich langsam.",""
"Great atmosphere and the prices are very reasonable!","Tolle Atmosphäre und die Preise sind sehr vernünftig!",""
"The pasta was overcooked and tasteless. Very disappointed.","Die Pasta war verkocht und geschmacklos. Sehr enttäuschend.",""
"Excellent customer service and the wine selection is outstanding.","Exzellenter Kundenservice und die Weinauswahl ist herausragend.",""
"The restaurant is too noisy and the tables are cramped.","Das Restaurant ist zu laut und die Tische sind eng.",""
"Delicious desserts but the main course was cold when served.","Köstliche Desserts, aber der Hauptgang war kalt serviert.",""
"Perfect location downtown, easy to find and parking available.","Perfekte Lage in der Innenstadt, leicht zu finden und Parkplätze verfügbar.",""
"The staff was friendly but the food took forever to arrive.","Das Personal war freundlich, aber das Essen brauchte ewig bis es ankam.",""
"Amazing Italian cuisine with fresh ingredients and great presentation.","Erstaunliche italienische Küche mit frischen Zutaten und toller Präsentation.",""
"Overpriced for the portion size and quality. Won't return.","Überteuert für die Portionsgröße und Qualität. Komme nicht wieder.",""
